trialNum, leftMoney, leftTime, rightMoney, rightTime
5.0, 400, 0.0, 800, 1
6.0, 600, 0.0, 800, 1
7.0, 700, 0.0, 800, 1
8.0, 750, 0.0, 800, 1
9.0, 775, 0.0, 800, 1
10.0, 787, 0.0, 800, 1
11.0, 800, 52.0, 400, 0
12.0, 800, 52.0, 200, 0
13.0, 800, 52.0, 100, 0
14.0, 800, 52.0, 150, 0
15.0, 800, 52.0, 175, 0
16.0, 800, 52.0, 187, 0
17.0, 400, 0.0, 800, 26
18.0, 200, 0.0, 800, 26
19.0, 300, 0.0, 800, 26
20.0, 350, 0.0, 800, 26
21.0, 375, 0.0, 800, 26
22.0, 387, 0.0, 800, 26
23.0, 800, 2.0, 400, 0
24.0, 800, 2.0, 200, 0
25.0, 800, 2.0, 300, 0
26.0, 800, 2.0, 350, 0
27.0, 800, 2.0, 375, 0
28.0, 800, 2.0, 387, 0
29.0, 800, 4.0, 400, 0
30.0, 800, 4.0, 600, 0
31.0, 800, 4.0, 500, 0
32.0, 800, 4.0, 550, 0
33.0, 800, 4.0, 575, 0
34.0, 800, 4.0, 587, 0
35.0, 800, 520.0, 400, 0
36.0, 800, 520.0, 200, 0
37.0, 800, 520.0, 100, 0
38.0, 800, 520.0, 50, 0
39.0, 800, 520.0, 75, 0
40.0, 800, 520.0, 87, 0
41.0, 400, 0.0, 800, 156
42.0, 200, 0.0, 800, 156
43.0, 300, 0.0, 800, 156
44.0, 350, 0.0, 800, 156
45.0, 325, 0.0, 800, 156
46.0, 337, 0.0, 800, 156
