trialNum, leftMoney, leftTime, rightMoney, rightTime
5.0, 400, 0.0, 800, 26
6.0, 600, 0.0, 800, 26
7.0, 500, 0.0, 800, 26
8.0, 450, 0.0, 800, 26
9.0, 425, 0.0, 800, 26
10.0, 412, 0.0, 800, 26
11.0, 800, 2.0, 400, 0
12.0, 800, 2.0, 200, 0
13.0, 800, 2.0, 300, 0
14.0, 800, 2.0, 350, 0
15.0, 800, 2.0, 375, 0
16.0, 800, 2.0, 387, 0
17.0, 400, 0.0, 800, 4
18.0, 600, 0.0, 800, 4
19.0, 700, 0.0, 800, 4
20.0, 750, 0.0, 800, 4
21.0, 775, 0.0, 800, 4
22.0, 787, 0.0, 800, 4
23.0, 400, 0.0, 800, 520
24.0, 200, 0.0, 800, 520
25.0, 100, 0.0, 800, 520
26.0, 50, 0.0, 800, 520
27.0, 25, 0.0, 800, 520
28.0, 12, 0.0, 800, 520
29.0, 800, 52.0, 400, 0
30.0, 800, 52.0, 200, 0
31.0, 800, 52.0, 100, 0
32.0, 800, 52.0, 50, 0
33.0, 800, 52.0, 25, 0
34.0, 800, 52.0, 12, 0
35.0, 800, 1.0, 400, 0
36.0, 800, 1.0, 600, 0
37.0, 800, 1.0, 700, 0
38.0, 800, 1.0, 750, 0
39.0, 800, 1.0, 775, 0
40.0, 800, 1.0, 787, 0
41.0, 400, 0.0, 800, 156
42.0, 200, 0.0, 800, 156
43.0, 100, 0.0, 800, 156
44.0, 50, 0.0, 800, 156
45.0, 25, 0.0, 800, 156
46.0, 12, 0.0, 800, 156
