trialNum, leftMoney, leftTime, rightMoney, rightTime
5.0, 800, 4.0, 400, 0
6.0, 800, 4.0, 600, 0
7.0, 800, 4.0, 700, 0
8.0, 800, 4.0, 750, 0
9.0, 800, 4.0, 775, 0
10.0, 800, 4.0, 787, 0
11.0, 400, 0.0, 800, 2
12.0, 600, 0.0, 800, 2
13.0, 700, 0.0, 800, 2
14.0, 750, 0.0, 800, 2
15.0, 775, 0.0, 800, 2
16.0, 787, 0.0, 800, 2
17.0, 800, 156.0, 400, 0
18.0, 800, 156.0, 600, 0
19.0, 800, 156.0, 700, 0
20.0, 800, 156.0, 750, 0
21.0, 800, 156.0, 775, 0
22.0, 800, 156.0, 762, 0
23.0, 800, 1.0, 400, 0
24.0, 800, 1.0, 600, 0
25.0, 800, 1.0, 700, 0
26.0, 800, 1.0, 750, 0
27.0, 800, 1.0, 775, 0
28.0, 800, 1.0, 787, 0
29.0, 400, 0.0, 800, 26
30.0, 600, 0.0, 800, 26
31.0, 700, 0.0, 800, 26
32.0, 750, 0.0, 800, 26
33.0, 775, 0.0, 800, 26
34.0, 787, 0.0, 800, 26
35.0, 400, 0.0, 800, 520
36.0, 600, 0.0, 800, 520
37.0, 700, 0.0, 800, 520
38.0, 650, 0.0, 800, 520
39.0, 675, 0.0, 800, 520
40.0, 687, 0.0, 800, 520
41.0, 800, 52.0, 400, 0
42.0, 800, 52.0, 600, 0
43.0, 800, 52.0, 700, 0
44.0, 800, 52.0, 750, 0
45.0, 800, 52.0, 775, 0
46.0, 800, 52.0, 787, 0
