trialNum, leftMoney, leftTime, rightMoney, rightTime
5.0, 400, 0.0, 800, 4
6.0, 600, 0.0, 800, 4
7.0, 700, 0.0, 800, 4
8.0, 750, 0.0, 800, 4
9.0, 725, 0.0, 800, 4
10.0, 712, 0.0, 800, 4
11.0, 800, 52.0, 400, 0
12.0, 800, 52.0, 200, 0
13.0, 800, 52.0, 100, 0
14.0, 800, 52.0, 50, 0
15.0, 800, 52.0, 75, 0
16.0, 800, 52.0, 87, 0
17.0, 800, 156.0, 400, 0
18.0, 800, 156.0, 200, 0
19.0, 800, 156.0, 100, 0
20.0, 800, 156.0, 50, 0
21.0, 800, 156.0, 25, 0
22.0, 800, 156.0, 12, 0
23.0, 400, 0.0, 800, 2
24.0, 600, 0.0, 800, 2
25.0, 700, 0.0, 800, 2
26.0, 750, 0.0, 800, 2
27.0, 725, 0.0, 800, 2
28.0, 712, 0.0, 800, 2
29.0, 400, 0.0, 800, 1
30.0, 600, 0.0, 800, 1
31.0, 700, 0.0, 800, 1
32.0, 750, 0.0, 800, 1
33.0, 775, 0.0, 800, 1
34.0, 762, 0.0, 800, 1
35.0, 800, 520.0, 400, 0
36.0, 800, 520.0, 200, 0
37.0, 800, 520.0, 100, 0
38.0, 800, 520.0, 50, 0
39.0, 800, 520.0, 25, 0
40.0, 800, 520.0, 12, 0
41.0, 800, 26.0, 400, 0
42.0, 800, 26.0, 200, 0
43.0, 800, 26.0, 100, 0
44.0, 800, 26.0, 150, 0
45.0, 800, 26.0, 175, 0
46.0, 800, 26.0, 187, 0
