trialNum, leftMoney, leftTime, rightMoney, rightTime
5.0, 400, 0.0, 800, 52
6.0, 600, 0.0, 800, 52
7.0, 700, 0.0, 800, 52
8.0, 750, 0.0, 800, 52
9.0, 775, 0.0, 800, 52
10.0, 787, 0.0, 800, 52
11.0, 800, 156.0, 400, 0
12.0, 800, 156.0, 600, 0
13.0, 800, 156.0, 700, 0
14.0, 800, 156.0, 750, 0
15.0, 800, 156.0, 775, 0
16.0, 800, 156.0, 762, 0
17.0, 400, 0.0, 800, 26
18.0, 600, 0.0, 800, 26
19.0, 700, 0.0, 800, 26
20.0, 750, 0.0, 800, 26
21.0, 775, 0.0, 800, 26
22.0, 787, 0.0, 800, 26
23.0, 400, 0.0, 800, 4
24.0, 600, 0.0, 800, 4
25.0, 700, 0.0, 800, 4
26.0, 750, 0.0, 800, 4
27.0, 775, 0.0, 800, 4
28.0, 787, 0.0, 800, 4
29.0, 800, 2.0, 400, 0
30.0, 800, 2.0, 600, 0
31.0, 800, 2.0, 700, 0
32.0, 800, 2.0, 750, 0
33.0, 800, 2.0, 775, 0
34.0, 800, 2.0, 787, 0
35.0, 800, 1.0, 400, 0
36.0, 800, 1.0, 600, 0
37.0, 800, 1.0, 700, 0
38.0, 800, 1.0, 750, 0
39.0, 800, 1.0, 775, 0
40.0, 800, 1.0, 787, 0
41.0, 800, 520.0, 400, 0
42.0, 800, 520.0, 600, 0
43.0, 800, 520.0, 500, 0
44.0, 800, 520.0, 450, 0
45.0, 800, 520.0, 475, 0
46.0, 800, 520.0, 487, 0
